Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par bassin de vie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre de décès domiciliés 2024;Part des pers. âgées de 75 ans ou + 2022;Taux de pauvreté 2021;Médiane du niveau de vie 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2022;Part des ouvriers dans le nb d’emplois au LT 2022;Part des familles monoparentales 2022;Part des pers. âgées de - 15 ans 2022;Taille moyenne des ménages 2022;Part des locataires dans les rés. principales 2022;Part des locataires HLM dans les rés. principales 2022;Part des résidences principales en suroccupation accentuée 2022;Part des rés. principales dans le total des logements 2022;Part des appartements dans le total des logements 2022;Part des maisons dans le total des logements 2022;Densité de population (historique depuis 1876) 2022
05170;Tallard;59;11.6;13.3;22630;16.6;23.5;11.4;16.8;2.17;28.2;5.2;0.3;79.3;24.1;74.7;32.2
05179;Veynes;160;15.1;20.1;20390;19;17.1;16.5;13.4;1.96;28.2;7.9;0.4;58.1;22;77.1;10.6
06029;Cannes;4790;13.8;14.9;23970;18.2;14;18.2;15;2.03;39.5;10;1.4;64.4;73;26.4;419.7
06033;Carros;422;9.7;12.7;23640;18.1;25.6;16;18;2.3;27.4;8;1.2;53.8;51.1;48.1;32.5
06048;Contes;230;11.9;10.3;24430;18.2;18.4;15.7;16.4;2.3;24.5;4;1;79.6;32.7;66.5;115.2
06083;Menton;831;13;16.1;23650;20.8;14.3;18;14.9;2.04;39.1;7.9;2.2;51.7;78.8;20.5;113.6
06088;Nice;5959;12.7;18;23010;18.6;13.9;20.1;15.6;2.02;44;9.9;2.4;74.4;81.8;17.5;1317.8
06099;Puget-Théniers;135;14.1;19.5;20750;20.6;16.9;17.9;13.2;2;26.7;4.6;1.2;37.7;49.1;50.1;9
07010;Annonay;497;11.2;13;22440;21.7;27.6;13.2;17;2.17;32.5;12;0.3;83.7;31.9;67;123.7
07019;Aubenas;718;13.6;17.3;21210;19.4;19.7;16.9;15.1;2.02;33.9;7.5;0.3;71.3;25.5;73.6;77.3
07042;Bourg-Saint-Andéol;171;12;18;21760;20.8;12.9;13.5;18.1;2.21;30.4;9;0.2;78.8;29.2;70.1;61
07064;Le Cheylard;142;15.3;14.8;21160;24.1;25.8;11.7;12.1;1.97;22.7;6;0.1;56.2;18.8;80.7;21.4
07110;Joyeuse;131;15.2;22;20180;17.4;19.5;17.4;14.5;2;27.5;4.4;0.2;58.9;12.8;86;32.6
07129;Lamastre;109;14.6;19.3;19990;26.1;27.1;11.2;12.9;2.02;24.8;5.1;0;62.8;13.6;86;32.6
07132;Largentière;87;14.5;20.5;20590;20.9;11.6;15.4;13.5;2.01;27.8;5.8;0;60.9;14.9;84.3;54.1
07186;Privas;374;10.8;14;22580;18.6;15.9;14.3;16.3;2.08;31.7;11;0.4;76.8;28.1;71.6;65.6
07201;Ruoms;91;15.9;15;21790;20.9;21.4;10.8;11.2;1.91;27.9;4.6;0;51.9;20.6;78.4;61
07324;Tournon-sur-Rhône;437;10.4;12.1;23030;19.2;27.9;13.5;17.7;2.19;30.8;5.4;0.2;85.9;29.2;70.2;124.9
07330;Vallon-Pont-d'Arc;90;13.5;16.4;21290;18.9;21.1;12;15.1;2.05;29.4;4.6;0;52.4;19.7;79.9;33.4
07334;Les Vans;155;15.9;22.6;20120;18.6;22.3;19.7;13;1.91;27.8;4;0.4;51.6;16;82.9;23
07338;Vernoux-en-Vivarais;47;12.9;20.7;19760;21.3;19.3;16.2;17;2.1;24.9;4.4;0.3;63.5;14.3;85.2;35.4
07341;Villeneuve-de-Berg;95;13.1;15.6;21740;22.7;12.3;12.6;17.1;2.18;32.5;10;0.2;73.5;17.4;81.8;46
07349;La Voulte-sur-Rhône;179;11.1;12;22680;20.8;28.4;15.2;17.5;2.19;32.4;12.4;0;87.5;26.1;73.3;132.8
08090;Carignan;104;10;20.9;20300;26.2;29.2;14.1;17.4;2.22;29.1;7;0.1;83.7;13.8;86;43.5
08105;Charleville-Mézières;1007;10;20.3;21020;23.6;24.9;17.6;17;2.11;43.7;23.3;0.4;86.5;38.6;60.9;100.1
08185;Fumay;58;11.9;21.1;19660;35.7;37.3;15.5;14.6;2.13;32.3;10.5;0.2;77.6;15.9;82.8;49.4
08190;Givet;87;9.4;19.8;20490;26.6;27.6;14;18.1;2.16;38.5;13.1;0.1;81.8;25.4;72.6;119.2
08302;Monthermé;74;11.3;18;20620;31.6;38.3;17.4;14.7;2.09;32.5;13.6;0;76.7;15.7;83.3;54.1
08328;Nouzonville;90;9.3;22.5;19720;28;32;15.3;16;2.16;36.3;20.2;0.1;84.4;21.9;77.8;177.2
08362;Rethel;390;9;14.1;21940;22.9;27.2;13.4;19.1;2.28;29.4;10.8;0.3;86.5;16.1;83.3;32.8
08363;Revin;153;9.7;21.4;19940;29.3;27;15.3;16.9;2.19;30.5;10.3;0.1;82.3;16.8;82.7;44.5
08409;Sedan;571;10;20.7;20430;26.7;30.6;17.4;16.5;2.11;42.9;21.4;0.2;87.1;35.3;64.1;82.3
08490;Vouziers;240;13.3;17.3;21140;27.2;26.9;11.9;15.6;2.08;25.1;6.5;0;78.2;13.9;85.4;16.4
09122;Foix;258;12.9;18.7;21570;15.5;15;19.3;14.4;1.96;34.3;5.9;0.2;76.8;25.5;72.9;56.9
09160;Lavelanet;333;16.2;22.1;19320;26.6;22.5;15.3;11.8;1.94;26.7;3.8;0.1;68;15.6;83.7;35.2
09167;Lézat-sur-Lèze;120;11.2;15.4;22040;20.2;20.6;14.6;17.2;2.19;26.1;3;0.7;83.2;9.6;88.6;39.5
09185;Mazères;162;12.5;13;22130;20.5;24.5;15.3;17.4;2.18;28.5;2.9;0;83.2;9.1;90.3;40.4
09194;Mirepoix;90;12.8;20.3;20230;19.9;19.4;17.5;14.3;2.03;28.8;1.9;0.3;74.2;13.7;85.2;23.7
09225;Pamiers;435;10.7;16;21390;18.1;19.5;18.6;17.1;2.14;34.3;5.6;0.3;87.2;22.8;76.4;84.1
09261;Saint-Girons;393;15.1;23.5;20210;18.3;17.5;20.3;13.2;1.9;25.7;2.4;0.5;52.6;13.9;85.3;18
09282;Saverdun;85;10.6;13.5;22010;19.8;13.7;16.2;17.4;2.16;34.8;6.4;0.2;87.8;18.4;80.9;59.1
09306;Tarascon-sur-Ariège;214;14.8;18.5;20840;20.2;21.6;15.3;12.6;1.94;27.5;6.5;0.3;42.1;26.6;71.7;12.4
10003;Aix-Villemaur-Pâlis;178;11.1;13.6;21750;24;28;10.8;16.5;2.18;19;5.9;0.1;76.5;6.1;93.4;24.9
10006;Arcis-sur-Aube;178;10.5;11.9;22360;24.2;27;12.9;17;2.2;26.9;7.3;0.4;85.2;10.8;88.1;16.5
10033;Bar-sur-Aube;194;13.2;16.1;21520;29.6;32.9;13.9;14.1;2;31.8;16.6;0.1;76.7;19.1;80.4;18.5
10034;Bar-sur-Seine;251;12.7;14.4;22410;30.7;32.6;14.8;14.7;2.06;25.7;10;0.4;72.7;10.2;89.4;18.1
10064;Brienne-le-Château;176;13.1;13;21880;28.1;25.5;14.2;14.1;2.03;27.6;10.5;0.2;81.3;11.8;86.9;19.8
10268;Nogent-sur-Seine;218;10.9;13.5;22530;26.1;26.8;13.5;18.6;2.25;32;15;0.3;79.5;19.7;79.3;39.8
10323;Romilly-sur-Seine;426;10.8;18.4;20740;27.4;27.7;16.9;18.5;2.17;32.4;16.8;0.1;85.2;14.8;84.7;45.1
10387;Troyes;1803;10;17.8;21490;24.5;23.3;19.8;18.1;2.07;46.4;23.3;0.6;89.4;46.7;52.5;126.9
11049;Bram;197;11;17.4;20800;20;24.2;15.4;17.7;2.21;31;5.2;0.4;80;8.8;90.7;54.3
11069;Carcassonne;1124;11.9;21.4;20640;19.7;15.5;18.8;15.8;2.05;37.8;12.2;0.3;83.4;28.2;71;113.7
11076;Castelnaudary;248;11;16.3;21170;19.3;24.2;18.8;15.5;2.1;39;8.5;0.5;85.7;24;74.8;66.3
11106;Coursan;189;13.7;17.3;21290;19.8;22.7;14.6;14.4;2.07;24.7;4.4;0.7;41.6;29.3;70.3;139.5
11203;Lézignan-Corbières;458;12.3;21.5;20000;24.3;22.4;16.1;16.3;2.14;27.4;5.6;0.4;75.2;10.5;88.9;45.5
11206;Limoux;335;14;20.4;20530;21.8;22;19;14.3;2.03;31.1;5;0.3;79.3;15.2;84.2;44.2
11262;Narbonne;1283;12.8;21;20640;20;19.4;19.5;15.7;1.99;41.6;11.6;0.5;66.6;43.4;55.4;149.9
11266;Port-la-Nouvelle;100;16;23.1;19610;28.3;26.8;21.3;13.5;1.89;41.9;16.5;0.1;39.3;47.1;52.5;206
11304;Quillan;253;17;29.6;18170;22.9;18;17.5;11;1.83;27.3;5.5;0.2;54;11.1;87.9;14
11379;Sigean;153;13.6;19;20720;19.8;19;14.8;15.2;2.07;24.7;4.5;0.4;65.9;11.6;84.3;33.4
11397;Trèbes;115;12;21.2;20330;23.5;23.7;18.4;16.2;2.18;33.3;10.5;0.4;83.4;16.3;83.4;108.6
12052;Capdenac-Gare;116;15.5;13.2;21490;20.7;26.1;13;14.6;2.03;26.4;4.4;0.6;77.2;17.4;81.9;80.1
12056;Baraqueville;79;10.5;10.1;23050;14.2;25.2;10.3;18.7;2.33;19.8;3.7;0.2;80.7;11.7;86.8;41
12089;Decazeville;311;17.2;18.3;20340;22.3;22.6;13.9;13;1.93;29.5;8.7;0.2;72.2;28.1;71.5;81.2
12096;Espalion;244;17.2;13.6;21800;23.3;21;11.6;12.9;2.02;22;2.8;0.2;65.2;20.8;78.9;24.4
12119;Laguiole;203;18.3;19.1;20390;26.5;20.8;8.2;12.3;2;19.7;2.3;0.1;53.8;12.3;87.2;10.5
12120;Laissac-Sévérac l'Église;79;12.8;12.9;21460;18.5;16.2;11.3;17.1;2.16;23.4;3.6;0;70.1;12.2;86.3;21.5
12133;Luc-la-Primaube;243;12.5;10.7;23030;19.4;22.4;9.9;16.2;2.16;19.3;3.1;0.2;74.9;14.2;85.2;28.5
12138;Marcillac-Vallon;151;13.1;11.3;23200;17.1;22.5;11.5;15.9;2.18;18.2;2.2;0.2;71.4;9.6;89.7;28.2
12145;Millau;478;12.8;15.2;21330;19.8;21.7;15.1;14.7;2.02;31.7;8.4;0.2;68.2;32.6;66.8;24.2
12148;Montbazens;84;15.2;13.2;21960;18.5;20.9;11.8;16.3;2.12;20.7;2.7;0;74.9;9.5;89.5;34.7
12169;Naucelle;98;18.4;15.3;21490;18.4;23.6;8.4;12.8;2.04;18.6;3.4;0;67.7;8.6;90.7;28.4
12197;Réquista;178;17.9;20.7;19700;25.7;20.2;10;12.1;2.05;17;1.7;0.3;63.2;7.6;91.6;16.6
12198;Rieupeyroux;80;17.1;18.2;20280;22.8;20.6;10.6;12.7;2.05;17.4;3.6;0;69.8;10.5;88.3;20.4
12199;Rignac;51;12;10.6;22700;17.2;19.6;10.2;18.8;2.23;23.8;3.1;0;75.5;18.3;81.3;41.5
12202;Rodez;544;11;12.3;23570;14.8;18.4;14;15.2;1.93;39.9;7.2;0.3;86.7;55.5;44.1;162.8
12208;Saint-Affrique;359;14.8;16.4;21030;19.9;23.1;13.9;13.9;1.99;26.1;4.9;0.1;63;20.5;78.4;16.7
12224;Saint Geniez d'Olt et d'Aubrac;74;18.1;16.8;20470;26.2;18;10.5;11.1;1.94;20.8;1.7;0.2;53.7;14.3;85.1;15.9
12270;Sévérac d'Aveyron;89;14.2;14.1;21410;19.2;24.7;15.3;14.4;2.04;22.2;3.6;0;60.5;16.1;83.6;12.5
12300;Villefranche-de-Rouergue;414;15.7;16.7;21140;21.5;21.1;12.9;14.3;2.03;26.2;3.8;0.3;71;19.3;80.3;36.9
13001;Aix-en-Provence;2984;9.8;11.9;26090;15.6;14.9;17.2;16;2.12;44.6;13.3;0.7;88.4;55.7;43.2;384.9
13004;Arles;622;11.6;22.8;20540;23.8;16.9;18.1;16;2.09;43.8;18.1;0.6;82.4;41.3;57.7;68.6
13022;Cassis;236;15.3;9.2;27340;16.5;17.8;15.2;14.6;2.15;33.8;11.4;0.3;73.2;54.3;45.2;315
13035;Eyguières;48;8.2;10.1;25680;13.7;15.5;17.7;17.1;2.26;30.6;5.7;0.2;84.8;19.2;80.3;100.6
13037;La Fare-les-Oliviers;73;9.6;7.3;26620;14.5;12.2;14.2;19.6;2.34;31.4;7.3;0.1;93.4;25.1;74.5;640.4
13047;Istres;461;8.3;13.2;23030;17.9;23.2;19.7;17.9;2.2;44.2;23.3;0.6;93.9;46;53.4;289.9
13050;Lambesc;248;11.4;9.2;27210;12.8;16.2;15.8;16.5;2.25;31.4;6.7;0.2;88.7;25.1;74.3;127.8
13051;Lançon-Provence;70;7.3;7.3;26720;15.5;22.7;16.3;19;2.42;25.2;4.7;0.6;94.2;19.4;77.8;139.7
13053;Mallemort;166;9.2;10.1;24690;16.7;21.5;14;18.6;2.35;26.2;5.8;0.5;75.8;20.3;79;141.7
13054;Marignane;623;9.3;15.5;22660;22.2;19.4;18.6;18.9;2.31;37.1;12.6;1;93.8;45.3;53.5;1001
13055;Marseille;9434;10;22.9;21630;21.6;13.8;23.7;17.4;2.11;51;15;1.9;89.2;76.9;22.3;1497.7
13056;Martigues;766;11.7;18.2;22320;23.9;20;21.9;17.6;2.15;48.9;28.3;0.7;87.4;56.4;42.5;682.8
13063;Miramas;336;9.7;19;21230;23.5;25.8;17.4;19.4;2.25;46;22.8;0.7;92.4;49;50.6;536.8
13074;Peyrolles-en-Provence;94;9.4;9.5;24420;16;22.1;12;18.3;2.34;28.8;8.1;0.2;88.1;26.9;72.5;76.4
13078;Port-Saint-Louis-du-Rhône;78;10.6;21.2;20700;26.5;40;18.8;17.8;2.12;55.4;42.7;0.5;83.4;53.9;45.8;116
13080;Le Puy-Sainte-Réparade;61;11.5;9.1;26810;20.3;14.9;19.5;16.3;2.26;31.1;12.3;0;86.9;26.1;72.6;112.1
13084;La Roque-d'Anthéron;174;12.7;14;23400;19.3;15.4;16.5;16.4;2.18;33.2;7.7;1;79.9;20.7;77.1;151.3
13088;Le Rove;104;9.5;8.8;27500;15.2;19.8;12.8;17.7;2.32;26.3;8;0.2;85.5;19.9;79.8;225.4
13096;Saintes-Maries-de-la-Mer;43;16.5;20.8;20550;21.2;20.3;17.9;10.4;1.85;34.2;1.9;1.1;38.2;52.7;46.8;6.1
13097;Saint-Martin-de-Crau;236;12.1;11.6;24130;19.1;31.6;13.4;17.7;2.23;32.9;10.6;0.4;80.5;19.1;79.7;69.9
13100;Saint-Rémy-de-Provence;148;15;16.2;23490;19.9;17.5;14.5;13.2;2.06;34.2;5.2;0.2;70.5;23.5;75.9;111.2
13103;Salon-de-Provence;575;10.8;14.2;23900;17.3;18;18.3;17.4;2.15;43.7;14.9;0.5;89.2;53.4;46.2;407
13104;Sausset-les-Pins;155;18.2;6.3;30250;13.4;10.3;14.7;11.4;1.99;25.8;4.6;0.7;67.8;41.9;55;597.9
13105;Sénas;88;11;13;23280;22.8;24.6;15;17.8;2.27;35;8.4;0.5;91;22.7;76.3;178.7
14020;Argences;107;6.4;9.1;22670;21.5;35.8;12.9;20.4;2.48;28;14.5;0.2;94.3;6;93.8;110.1
14027;Les Monts d'Aunay;64;8.8;12.3;21860;22.8;18.6;11.3;19.3;2.32;27.4;9.8;0.1;89.3;16;83.5;54.1
