annee,code_insee,commune,is_thierache_centre,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale
2023,39104,Chapelle-Voland,False,3.317,3.153,654.24,613
2023,39105,Chapois,False,2.752,2.575,226.688,216
2023,39106,Charchilla,False,4.6,4.6,296.25,288
2023,39107,Charcier,False,3.194,3.194,154.422,147
2023,39108,Charency,False,2.837,2.661,57.772,58
2023,39109,Charézier,False,4.435,4.435,176.019,172
2023,39110,La Charme,False,2.71,2.552,60.72,65
2023,39111,Charnod,False,1.481,1.481,47.317,38
2023,39112,La Chassagne,False,2.332,2.226,118.551,105
2023,39114,Château-Chalon,False,1.559,1.506,161.192,143
2023,39116,La Châtelaine,False,0.553,0.553,148.102,153
2023,39117,Chatelay,False,4.284,4.284,100.512,103
2023,39118,Châtel-de-Joux,False,1.7,1.7,55.375,51
2023,39119,Le Chateley,False,2.575,2.417,93.548,85
2023,39120,Châtelneuf,False,2.224,1.592,125.778,124
2023,39121,Châtenois,False,3.792,3.74,398.156,413
2023,39122,Châtillon,False,2.874,2.874,120.772,118
2023,39124,Chaumergy,False,2.261,2.102,486.35,474
2023,39126,La Chaumusse,False,3.286,2.831,381.485,393
2023,39127,Chaussenans,False,1.641,1.641,115.617,112
2023,39128,Chaussin,False,2.152,2.096,1699.715,1547
2023,39129,Chaux-des-Crotenay,False,3.948,3.089,398.741,390
2023,39130,Nanchez,False,0.872,0.697,790.097,775
2023,39131,La Chaux-du-Dombief,False,1.625,1.398,548.47,563
2023,39132,La Chaux-en-Bresse,False,3.04,2.881,32.67,31
2023,39133,Chaux-Champagny,False,3.357,3.357,70.037,73
2023,39134,Chavéria,False,2.413,2.413,215.979,218
2023,39136,Chemenot,False,2.063,1.904,41.512,35
2023,39137,Saint-Hymetière-sur-Valouse,False,3.292,3.292,419.709,423
2023,39138,Chemin,False,2.85,2.807,336.85,326
2023,39139,Chêne-Bernard,False,2.0,1.892,84.362,79
2023,39140,Chêne-Sec,False,1.929,1.823,43.399,39
2023,39141,Chevigny,False,3.282,3.256,266.564,281
2023,39142,Chevreaux,False,2.065,1.211,145.472,127
2023,39143,Chevrotaine,False,1.997,1.77,32.689,33
2023,39145,Chille,False,4.168,3.606,325.474,296
2023,39146,Chilly-le-Vignoble,False,3.88,3.4,574.766,600
2023,39147,Chilly-sur-Salins,False,2.86,2.86,96.621,96
2023,39149,Chissey-sur-Loue,False,3.799,3.799,345.162,318
2023,39150,Choisey,False,4.506,4.135,1051.345,1009
2023,39151,Choux,False,3.344,3.304,132.06,133
2023,39153,Cize,False,3.324,2.567,869.217,809
2023,39154,Clairvaux-les-Lacs,False,3.996,3.996,1534.53,1426
2023,39155,Clucy,False,1.514,1.514,81.778,74
2023,39156,Cogna,False,2.625,2.625,235.629,238
2023,39157,Coiserette,False,2.367,2.367,48.77,50
2023,39159,Colonne,False,2.371,2.266,272.898,259
2023,39160,Commenailles,False,3.706,3.601,905.815,903
2023,39162,Condamine,False,3.082,2.838,243.565,249
2023,39163,Condes,False,0.924,0.884,110.727,116
2023,39164,Conliège,False,3.112,2.602,699.981,656
2023,39165,Conte,False,2.837,2.661,60.995,57
2023,39166,Cornod,False,1.795,1.795,220.766,214
2023,39167,Cosges,False,3.515,3.27,360.85,356
2023,39168,Courbette,False,2.606,2.427,47.764,46
2023,39169,Courbouzon,False,3.75,3.27,642.38,589
2023,39170,Courlans,False,4.773,4.35,936.63,925
2023,39171,Courlaoux,False,4.272,3.861,1127.402,1136
2023,39172,Courtefontaine,False,3.771,3.497,247.128,261
2023,39173,Cousance,False,1.754,1.606,1414.033,1293
2023,39174,Coyrière,False,1.701,1.701,71.941,65
