code_insee,commune,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale,annee
33500,Samonac,3.044,2.743,476.002,457,2023
33501,Saucats,2.361,2.159,3208.297,3388,2023
33502,Saugon,4.473,4.016,475.67,499,2023
33503,Saumos,4.751,4.751,540.699,548,2023
33504,Sauternes,4.4,3.861,807.809,838,2023
33505,La Sauve,3.713,3.362,1524.371,1586,2023
33506,Sauveterre-de-Guyenne,4.054,3.662,2006.124,1868,2023
33507,Sauviac,5.159,4.362,346.708,327,2023
33508,Savignac,3.756,3.315,636.163,642,2023
33509,Savignac-de-l'Isle,3.976,3.37,584.761,569,2023
33510,Semens,3.29,3.077,208.799,224,2023
33511,Sendets,4.481,3.868,346.826,344,2023
33512,Sigalens,4.145,3.704,362.857,347,2023
33513,Sillas,4.269,3.754,125.15,120,2023
33514,Soulac-sur-Mer,3.911,3.911,3591.389,2922,2023
33515,Soulignac,3.216,2.875,420.917,417,2023
33516,Soussac,3.054,2.772,185.977,188,2023
33517,Soussans,4.324,4.145,1644.081,1692,2023
33518,Tabanac,3.067,2.885,1119.28,1085,2023
33519,Le Taillan-Médoc,5.809,5.43,10542.53,10727,2023
33520,Taillecavat,3.888,3.398,275.235,271,2023
33521,Talais,3.868,3.715,836.56,759,2023
33522,Talence,6.807,6.252,41803.921,45225,2023
33523,Targon,3.714,3.36,2133.665,2044,2023
33524,Tarnès,2.678,2.409,310.125,311,2023
33525,Tauriac,3.582,3.329,1311.066,1318,2023
33526,Tayac,1.685,1.685,137.267,129,2023
33527,Le Teich,4.572,4.123,9016.758,9004,2023
33528,Le Temple,3.557,3.557,649.704,644,2023
33529,La Teste-de-Buch,5.567,4.844,29082.962,26556,2023
33530,Teuillac,4.678,4.201,873.932,879,2023
33531,Tizac-de-Curton,4.194,3.692,357.19,366,2023
33532,Tizac-de-Lapouyade,1.727,1.597,494.226,473,2023
33533,Toulenne,6.22,5.619,2808.465,2813,2023
33534,Le Tourne,3.868,3.623,803.012,824,2023
33535,Tresses,3.389,3.102,5072.604,5086,2023
33536,Le Tuzan,3.643,3.1,249.349,259,2023
33537,Uzeste,4.163,3.737,493.896,477,2023
33538,Valeyrac,2.588,2.272,538.09,537,2023
33539,Vayres,4.667,4.141,4097.899,4204,2023
33540,Vendays-Montalivet,3.615,3.102,3099.247,2684,2023
33541,Vensac,4.99,4.424,1188.839,1095,2023
33542,Vérac,2.981,2.603,887.548,930,2023
33543,Verdelais,4.803,4.458,993.985,1035,2023
33544,Le Verdon-sur-Mer,3.842,3.842,1624.957,1369,2023
33545,Vertheuil,4.045,3.494,1376.663,1306,2023
33546,Vignonet,4.398,3.909,497.868,492,2023
33547,Villandraut,3.613,2.894,1170.276,1131,2023
33548,Villegouge,2.877,2.471,1260.896,1281,2023
33549,Villenave-de-Rions,3.679,3.347,374.311,373,2023
33550,Villenave-d'Ornon,9.146,8.453,39385.291,40500,2023
33551,Villeneuve,3.571,3.131,418.739,408,2023
33552,Virelade,4.209,3.907,1071.519,1109,2023
33553,Virsac,4.41,4.171,1255.179,1305,2023
33554,Yvrac,5.204,4.799,3000.562,2881,2023
33555,Marcheprime,2.784,2.506,5109.513,5367,2023
34001,Abeilhan,3.458,2.92,1841.711,1818,2023
34002,Adissan,4.123,3.573,1293.193,1324,2023
34003,Agde,3.559,2.858,32289.803,29103,2023
34004,Agel,2.474,2.212,274.94,248,2023
34005,Agonès,4.607,4.338,298.424,304,2023
34006,Aigne,2.163,1.883,317.388,288,2023
34007,Aigues-Vives,2.108,1.746,507.873,467,2023
34008,Les Aires,5.107,3.854,626.439,608,2023
34009,Alignan-du-Vent,3.844,3.292,1871.001,1757,2023
34010,Aniane,3.933,3.627,3014.446,2943,2023
34011,Arboras,2.441,2.272,104.854,107,2023
34012,Argelliers,2.768,2.613,957.532,970,2023
34013,Aspiran,3.055,2.521,1754.351,1676,2023
34014,Assas,4.991,4.747,1575.132,1455,2023
34015,Assignan,2.045,2.045,178.754,162,2023
34016,Aumelas,1.83,1.624,572.347,557,2023
34017,Aumes,4.386,3.668,515.948,501,2023
34018,Autignac,2.313,2.046,987.203,942,2023
34019,Avène,0.552,0.552,324.822,288,2023
34020,Azillanet,1.616,1.318,383.191,355,2023
34021,Babeau-Bouldoux,2.374,2.109,328.233,305,2023
34022,Baillargues,6.032,5.486,7563.035,7735,2023
34023,Balaruc-les-Bains,5.366,4.879,7705.099,7073,2023
34024,Balaruc-le-Vieux,7.272,6.61,2839.094,2719,2023
34025,Bassan,3.07,2.692,2351.297,2287,2023
34026,Beaufort,2.524,2.226,243.632,218,2023
34027,Beaulieu,3.537,3.278,2173.556,2213,2023
34028,Bédarieux,4.97,3.956,6301.509,5778,2023
34029,Bélarga,3.132,2.621,642.15,668,2023
34030,Berlou,2.788,1.992,238.455,219,2023
34031,Bessan,4.319,3.635,5669.588,5572,2023
34032,Béziers,3.81,2.97,82166.751,80341,2023
34033,Boisseron,3.231,2.955,2151.03,2153,2023
34034,Boisset,0.0,0.0,43.581,39,2023
34035,La Boissière,2.653,2.498,1038.646,1038,2023
34036,Le Bosc,3.838,3.379,1375.645,1376,2023
34037,Boujan-sur-Libron,4.975,4.097,3737.857,3452,2023
34038,Le Bousquet-d'Orb,2.299,2.191,1786.285,1584,2023
34039,Bouzigues,5.46,4.939,1778.896,1626,2023
34040,Brenas,1.195,1.087,62.079,56,2023
34041,Brignac,5.124,4.59,867.843,965,2023
34042,Brissac,4.607,4.338,618.528,599,2023
34043,Buzignargues,2.045,1.996,355.555,368,2023
34044,Cabrerolles,0.959,0.897,352.149,337,2023
34045,Cabrières,1.589,1.506,578.316,551,2023
34046,Cambon-et-Salvergues,0.0,0.0,59.578,50,2023
34047,Campagnan,2.72,2.296,730.12,724,2023
34048,Campagne,1.901,1.866,301.365,305,2023
34049,Camplong,1.996,1.876,260.332,221,2023
34050,Candillargues,3.455,3.151,1944.965,2107,2023
34051,Canet,4.628,4.086,3468.091,3570,2023
34052,Capestang,2.948,2.558,3519.26,3318,2023
