CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
13210;Marseille 10e Arrondissement;3.9
13211;Marseille 11e Arrondissement;7.9
13212;Marseille 12e Arrondissement;3.5
13213;Marseille 13e Arrondissement;4.3
13214;Marseille 14e Arrondissement;5.2
13215;Marseille 15e Arrondissement;7.2
13216;Marseille 16e Arrondissement;2.8
1324;Martigues;3.6
1325;Pélissanne;4.4
1326;Salon-de-Provence-1;3.1
1327;Salon-de-Provence-2;3.6
1328;Trets;4
1329;Vitrolles;4.6
1397;Aix-en-Provence;5
1399;Salon-de-Provence;4.1
14020;Argences;3.1
14027;Les Monts d'Aunay;3.2
1403;Thue-et-Mue;4.7
1404;Cabourg;3.8
14047;Bayeux;3.5
1405;Caen-1;5.9
1406;Caen-2;5.9
1407;Caen-3;7.6
1409;Caen-5;6.6
1412;Évrecy;4.4
1414;Hérouville-Saint-Clair;6.6
1415;Honfleur-Deauville;4.2
1416;Ifs;6.1
1417;Lisieux;2.9
14174;Condé-en-Normandie;3.5
1418;Livarot-Pays-d’Auge;1.8
1419;Mézidon Vallée d’Auge;2.5
14191;Courseulles-sur-Mer;3.8
1420;Ouistreham;5.4
1421;Pont-l'Évêque;3.9
1422;Le Hom;2.8
14228;Douvres-la-Délivrande;4.2
1424;Troarn;4.3
14257;Évrecy;3
14258;Falaise;3.9
14333;Honfleur;3.5
14342;Isigny-sur-Mer;3.1
14371;Livarot-Pays-d'Auge;1.9
14431;Mézidon Vallée d'Auge;2.8
14478;Orbec;2.1
14488;Ouistreham;3.5
14514;Pont-l'Évêque;3.3
14654;Saint-Pierre-en-Auge;3
14689;Thury-Harcourt-le-Hom;2.8
14712;Troarn;5.2
14752;Villers-Bocage;3.5
14762;Vire Normandie;3.1
1499;Caen;5.6
1501;Arpajon-sur-Cère;4.1
1502;Aurillac-1;4.4
1506;Maurs;3.6
1508;Naucelles;4
15119;Massiac;2
15120;Mauriac;4.1
15122;Maurs;2.6
1513;Saint-Paul-des-Landes;3.3
15138;Murat;3
1514;Vic-sur-Cère;2.7
15162;Riom-ès-Montagnes;2.5
15187;Saint-Flour;3.6
15258;Vic-sur-Cère;5.2
1598;Aurillac;5
1601;Angoulême-1;2.3
1602;Angoulême-2;3.5
16028;Barbezieux-Saint-Hilaire;2.6
1603;Angoulême-3;3.1
1604;Boëme-Echelle;2.8
16070;Chabanais;2.9
16073;Chalais;2.4
16078;Champniers;3.5
16085;Chasseneuil-sur-Bonnieure;2.7
16090;Châteauneuf-sur-Charente;2.1
16102;Cognac;3.7
16106;Confolens;3.5
1613;La Couronne;3.4
1614;Gond-Pontouvre;4
1616;Touvre-et-Braconne;4.2
16167;Jarnac;3.2
1617;Tude-et-Lavalette;2.3
1618;Val de Nouère;2.8
1619;Val de Tardoire;2.3
16206;Mansle-les-Fontaines;3.9
16281;La Rochefoucauld-en-Angoumois;3.2
16292;Ruffec;3.1
16366;Segonzac;2.6
1698;Angoulême;3.2
17003;Aigrefeuille-d'Aunis;3.6
1701;Aytré;6.7
1702;Chaniers;3.9
17024;Aulnay;2.3
1703;Châtelaillon-Plage;5
1706;La Jarrie;5
1708;Lagord;5.2
1709;Marans;5
17093;Le Château-d'Oléron;3.6
1710;Marennes;3.5
1713;Rochefort;4.6
17131;Cozes;2.8
17140;Dolus-d'Oléron;4.5
17161;La Flotte;4.6
17168;Fouras;3.6
1717;Royan;3.8
17172;Gémozac;3.7
1718;Saint-Jean-d'Angély;2.4
1719;Saint-Porchaire;3.3
17197;Jonzac;3.4
1720;Saintes;5
1721;Saintonge Estuaire;2.1
17218;Marans;3.1
17219;Marennes-Hiers-Brouage;3.7
1722;Saujon;4.8
17224;Matha;2.9
17236;Mirambeau;3.1
1724;Thénac;4.6
17240;Montendre;3.2
17241;Montguyon;2.9
1725;Tonnay-Charente;3.9
1726;La Tremblade;3.6
17283;Pons;3.6
17347;Saint-Jean-d'Angély;3.1
17385;Saint-Pierre-d'Oléron;3.5
17397;Saint-Savinien;3.9
17421;Saujon;3.4
17434;Surgères;3.7
17452;La Tremblade;2.7
1799;La Rochelle;5.7
18015;Aubigny-sur-Nère;2.5
1802;Avord;1.5
18057;Châteaumeillant;2
1807;Chârost;1.6
1808;Châteaumeillant;1.3
18087;Dun-sur-Auron;1.2
1809;Dun-sur-Auron;2.3
1810;La Guerche-sur-l'Aubois;2.1
18108;La Guerche-sur-l'Aubois;2
18109;Henrichemont-Menetou-Salon;1.8
18127;Lignières;1.1
1813;Saint-Doulchard;3.2
1814;Saint-Germain-du-Puy;1.8
18141;Mehun-sur-Yèvre;2.3
1815;Saint-Martin-d'Auxigny;2.4
1817;Trouy;2.5
18197;Saint-Amand-Montrond;1.9
18207;Saint-Florent-sur-Cher;2
18223;Saint-Martin-d'Auxigny;1.9
18242;Sancoins;2.2
18279;Vierzon;1.8
1898;Bourges;3.1
1901;Allassac;2.9
19010;Argentat-sur-Dordogne;4.6
1902;Argentat-sur-Dordogne;3.5
19028;Bort-les-Orgues;3.2
1905;Brive-la-Gaillarde-3;2.3
19073;Égletons;7.5
1909;Malemort;4.2
1910;Midi Corrézien;3.4
1911;Naves;1.2
19121;Lubersac;3.2
1913;Saint-Pantaléon-de-Larche;3.2
19138;Meyssac;3.6
19153;Objat;2.9
