Insee - Statistiques locales; ; 
Référentiel géographique : France par bassin de vie; ; 
Code;Libellé;Taux de pauvreté 2021
30212;Remoulins;13.9
30217;Rochefort-du-Gard;9.9
30221;Roquemaure;14.1
30227;Saint-Ambroix;23.5
30255;Saint-Geniès-de-Malgoirès;14.6
30258;Saint-Gilles;26.8
30263;Saint-Hippolyte-du-Fort;25
30269;Saint-Jean-du-Gard;29.1
30321;Sommières;13.4
30334;Uzès;17.1
30341;Vauvert;18.5
30344;Vergèze;10.3
30350;Le Vigan;25.9
31033;Auterive;12
31042;Bagnères-de-Luchon;15.4
31066;Bessières;8.2
31080;Boulogne-sur-Gesse;21.4
31106;Caraman;8.9
31107;Carbonne;15.9
31135;Cazères;16.2
31202;Fronton;10
31232;Grenade;10.6
31239;L'Isle-en-Dodon;21.4
31324;Martres-Tolosane;14
31358;Montastruc-la-Conseillère;6.2
31390;Montréjeau;17.6
31396;Nailloux;9.2
31399;Noé;9.7
31421;Pins-Justaret;7
31451;Revel;15.1
31454;Rieumes;8.6
31483;Saint-Gaudens;18.6
31499;Saint-Lys;8.4
31523;Salies-du-Salat;15.6
31555;Toulouse;15.1
31573;Verfeil;6
31574;Vernet;7.1
31582;Villefranche-de-Lauragais;7.5
31584;Villemur-sur-Tarn;12
32013;Auch;14.1
32096;Cazaubon;19.8
32107;Condom;18.9
32119;Eauze;19.6
32132;Fleurance;15.1
32147;Gimont;12.7
32160;L'Isle-Jourdain;8.5
32208;Lectoure;16.4
32233;Marciac;19.6
32242;Masseube;17.5
32249;Mauvezin;14.1
32256;Mirande;17.3
32296;Nogaro;18.9
32319;Plaisance;19.9
32344;Riscle;15.1
32410;Samatan;11.9
32462;Vic-Fezensac;17.3
33005;Andernos-les-Bains;7.5
33011;Arès;7.7
33036;Bazas;15.2
33042;Belin-Béliet;8.2
33051;Biganos;7.3
33058;Blaye;17.5
33063;Bordeaux;13.2
33081;Cadillac-sur-Garonne;12.5
33104;Castelnau-de-Médoc;8
33108;Castillon-la-Bataille;19.7
33114;Cavignac;13.7
33138;Coutras;18.1
33140;Créon;9
33203;Hourtin;12
33213;La Brède;5
33214;Lacanau;10.7
33226;Langoiran;10.6
33227;Langon;13
33236;Lège-Cap-Ferret;9.6
33240;Lesparre-Médoc;16.1
33243;Libourne;13.1
33314;Pauillac;13.4
33327;Podensac;7.8
33352;La Réole;20.7
33366;Saint-André-de-Cubzac;11.3
33402;Sainte-Foy-la-Grande;20.9
33478;Saint-Seurin-sur-l'Isle;17.1
33498;Salles;6.1
33506;Sauveterre-de-Guyenne;17.4
33514;Soulac-sur-Mer;15.9
33529;La Teste-de-Buch;9.9
34003;Agde;21.9
34022;Baillargues;9.6
34028;Bédarieux;22.7
34031;Bessan;17.2
34032;Béziers;26.7
34052;Capestang;18.5
34058;Castries;7.1
34079;Clermont-l'Hérault;18.2
34111;Ganges;18
34114;Gignac;15.4
34126;Lamalou-les-Bains;21.1
34142;Lodève;24.2
34145;Lunel;18.1
34147;Magalas;14.9
34150;Marseillan;20
34154;Mauguio;10.7
34157;Mèze;16.2
34162;Montagnac;26.5
34172;Montpellier;19.8
34189;Olonzac;23.9
34192;Palavas-les-Flots;16.2
34194;Paulhan;15.9
34199;Pézenas;19.5
34202;Pignan;11.5
34239;Saint-André-de-Sangonis;14.8
34245;Saint-Chinian;21.5
34276;Saint-Mathieu-de-Tréviers;8.4
34284;Saint-Pons-de-Thomières;29.5
34299;Sérignan;16.1
34300;Servian;15.7
34301;Sète;18.5
34332;Vias;22.6
35006;Argentré-du-Plessis;6.5
35012;Bain-de-Bretagne;8.8
35037;Bréal-sous-Montfort;6.3
35068;Châteaubourg;5
35069;Châteaugiron;5
35085;Combourg;11.2
35093;Dinard;9.7
35095;Dol-de-Bretagne;10.2
35115;Fougères;11.2
35125;La Guerche-de-Bretagne;9.7
35126;Guichen;5.9
35136;Janzé;7.2
35152;Liffré;5.5
35162;Louvigné-du-Désert;14.5
35168;Val d'Anast;10.1
35176;Guipry-Messac;9.5
35177;La Mézière;5.9
35184;Montauban-de-Bretagne;7.7
35188;Montfort-sur-Meu;6.3
35196;Mordelles;7.6
35207;Noyal-sur-Vilaine;5.8
35219;Pipriac;10.5
35223;Plélan-le-Grand;9.4
35236;Redon;13.2
35238;Rennes;14.9
35239;Retiers;10.1
35240;Le Rheu;10.1
35251;Saint-Aubin-d'Aubigné;6.7
35253;Saint-Aubin-du-Cormier;6.2
35257;Maen Roch;11.2
35288;Saint-Malo;10.7
35297;Saint-Méen-le-Grand;11.4
35337;Tinténiac;8
35352;Vern-sur-Seiche;7.7
35360;Vitré;8.6
36001;Aigurande;21.2
36006;Argenton-sur-Creuse;17.1
36018;Le Blanc;15.6
36031;Buzançais;12.9
36044;Châteauroux;16.2
36045;Châtillon-sur-Indre;15.5
36046;La Châtre;16.4
36088;Issoudun;13.1
36093;Levroux;11.1
36228;Valençay;14.3
37003;Amboise;11.5
37011;Avoine;10.4
37014;Azay-le-Rideau;7.6
37027;Bléré;6.8
37031;Bourgueil;13.4
37062;Château-la-Vallière;12
37063;Château-Renault;11.2
37072;Chinon;14.5
37104;Esvres;5.9
37115;Descartes;18
37119;L'Île-Bouchard;12.6
37123;Langeais;10.6
37130;Ligueil;11.9
37132;Loches;13
37159;Monts;5.5
37196;Richelieu;15.9
37226;Sainte-Maure-de-Touraine;12.2
37261;Tours;14
38001;Les Abrets en Dauphiné;8.6
38006;Allevard;7.3
38013;Apprieu;6.7
38022;Les Avenières Veyrins-Thuellin;8.8
38034;Beaurepaire;13.1
38052;Le Bourg-d'Oisans;14.4
38053;Bourgoin-Jallieu;12.9
38085;Charvieu-Chavagneux;9.1
38130;La Côte-Saint-André;11.8
38138;Crémieu;6.3
38140;Crolles;5.7
38185;Grenoble;14.5
38189;Heyrieux;5.2
38247;Montalieu-Vercieu;9
38261;Morestel;8.6
38269;La Mure;13.1
38314;Pontcharra;7.5
38315;Le Pont-de-Beauvoisin;9.2
38337;Rives;10.3
38344;Roussillon;14.5
38384;Saint-Étienne-de-Saint-Geoirs;10
38399;Saint-Jean-de-Bournay;7.6
38412;Saint-Laurent-du-Pont;9.1
38416;Saint-Marcellin;12.2
38509;La Tour-du-Pin;10.6
38511;Le Touvet;5
38517;Tullins;9.6
38544;Vienne;12.6
38545;Vif;5.5
38548;Villard-de-Lans;9.3
38553;Villefontaine;14.4
38557;Villette-d'Anthon;5
38559;Vinay;9.6
38562;Vizille;7.8
38563;Voiron;9.5
38565;Voreppe;8.4
39013;Arbois;12.3
39056;Bletterans;9.8
39097;Champagnole;11.2
39128;Chaussin;11.4
39154;Clairvaux-les-Lacs;10.2
39198;Dole;14.4
39300;Lons-le-Saunier;12.6
39333;Moirans-en-Montagne;10.6
39368;Hauts de Bienne;11.7
39397;Orgelet;8.3
39434;Poligny;11.2
39470;Les Rousses;5.4
39475;Saint-Amour;11.5
39478;Saint-Claude;13.4
39487;Saint-Laurent-en-Grandvaux;8.4
39500;Salins-les-Bains;11.1
39526;Tavaux;8.7
40001;Aire-sur-l'Adour;13.8
40046;Biscarrosse;9.5
40065;Capbreton;11.8
40075;Castets;10.7
40088;Dax;13.3
40119;Hagetmau;11.7
40133;Labenne;8.6
40184;Mimizan;12.5
40192;Mont-de-Marsan;12.2
40194;Montfort-en-Chalosse;12.6
40197;Morcenx-la-Nouvelle;12.2
40217;Parentis-en-Born;11
40224;Peyrehorade;12.2
40233;Pouillon;11.1
40245;Roquefort;12.4
40282;Saint-Sever;9.4
40284;Saint-Vincent-de-Tyrosse;9.5
40296;Seignosse;10.8
40310;Soustons;11.2
40313;Tartas;11.7
41018;Blois;14.6
41059;Le Controis-en-Sologne;9.6
41106;Lamotte-Beuvron;10.6
41136;Mer;10.9
41143;Mondoubleau;15
41149;Montoire-sur-le-Loir;10.4
41151;Montrichard Val de Cher;10.9
41167;Veuzain-sur-Loire;9.4
41173;Beauce la Romaine;7.2
41194;Romorantin-Lanthenay;15.8
41198;Saint-Aignan;14.7
41232;Salbris;12.5
41242;Selles-sur-Cher;14.7
41269;Vendôme;12.3
42011;Balbigny;10.4
42019;Boën-sur-Lignon;12.4
42023;Bourg-Argental;13
42052;Charlieu;10.4
42059;Chazelles-sur-Lyon;9.2
42094;Feurs;11.8
42103;La Grand-Croix;11.9
42147;Montbrison;10.3
42149;Montrond-les-Bains;7.1
42165;Panissières;10.9
42168;Pélussin;7.9
42182;Renaison;10.2
42186;Rive-de-Gier;13.5
42187;Roanne;16.1
42204;Saint-Bonnet-le-Château;10.4
42218;Saint-Étienne;20.6
42222;Saint-Galmier;5.3
42230;Saint-Germain-Laval;13.4
42279;Saint-Just-Saint-Rambert;8.7
43040;Brioude;16.3
43051;Le Chambon-sur-Lignon;17.9
43080;Craponne-sur-Arzon;15.9
43087;Dunières;11.2
43112;Langeac;16.3
43137;Monistrol-sur-Loire;7.7
43157;Le Puy-en-Velay;12.9
43162;Retournac;14.3
43200;Saint-Julien-Chapteuil;10.4
43216;Saint-Paulien;13
43224;Sainte-Sigolène;8
43234;Saugues;19
43244;Tence;13.7
43268;Yssingeaux;10.5
44002;Aigrefeuille-sur-Maine;5.1
44003;Ancenis-Saint-Géréon;8.6
44015;Blain;8.4
44036;Châteaubriant;14.7
44043;Clisson;5.9
44051;Derval;12.3
44055;La Baule-Escoublac;8.6
44067;Guémené-Penfao;14.2
44072;Herbignac;8.5
44073;Héric;6.3
44081;Legé;8.7
44082;Ligné;5
44084;Le Loroux-Bottereau;6
44087;Machecoul-Saint-Même;9.1
44109;Nantes;12.4
44110;Nort-sur-Erdre;7.7
44113;Nozay;10.3
44120;Le Pellerin;6.1
44129;Pontchâteau;8
44131;Pornic;7.8
44154;Saint-Brevin-les-Pins;7.9
44158;Saint-Étienne-de-Montluc;5
44180;Vallons-de-l'Erdre;12.3
44184;Saint-Nazaire;13.5
44186;Sainte-Pazanne;6.6
44188;Saint-Philbert-de-Grand-Lieu;6.2
44195;Savenay;6.2
44209;Treillières;5
44212;Vallet;6.2
44213;Loireauxence;10.3
45028;Beaugency;10.3
45030;Beaune-la-Rolande;12.1
45031;Bellegarde;11.6
45053;Briare;15.9
45082;Châteauneuf-sur-Loire;8.6
45085;Châtillon-Coligny;14
45115;Courtenay;13.7
45145;Ferrières-en-Gâtinais;10
45146;La Ferté-Saint-Aubin;7.2
45155;Gien;17.8
45173;Jargeau;8
45187;Lorris;12.3
45191;Le Malesherbois;13.1
45203;Meung-sur-Loire;6.5
45208;Montargis;20.3
45224;Neuville-aux-Bois;6.6
45234;Orléans;15.1
45248;Patay;9.1
45252;Pithiviers;13.6
45258;Puiseaux;9.9
45315;Sully-sur-Loire;12.3
46042;Cahors;14.3
46045;Cajarc;20.2
46063;Castelnau-Montratier;N/A - secret statistique
46102;Figeac;14.5
46127;Gourdon;17.4
46128;Gramat;13.3
46143;Lacapelle-Marival;15.5
46225;Prayssac;18
46251;Saint-Céré;14.9
46309;Souillac;15.9
46330;Vayrac;13.9
47001;Agen;15.6
47004;Aiguillon;21.8
47052;Casteljaloux;17.1
47057;Castillonnès;21.4
47106;Fumel;20.9
47157;Marmande;17.5
47168;Miramont-de-Guyenne;19.7
47175;Monflanquin;18.5
47195;Nérac;17.3
47310;Tonneins;19.4
47323;Villeneuve-sur-Lot;19.3
48034;La Canourgue;14.4
48061;Florac Trois Rivières;20.1
48080;Langogne;19.2
48092;Marvejols;13.2
48095;Mende;12.1
48140;Saint-Chély-d'Apcher;15
49007;Angers;14.7
49018;Baugé-en-Anjou;11.9
49021;Beaufort-en-Anjou;8.3
49023;Beaupréau-en-Mauges;7.7
49050;Brissac Loire Aubance;6.8
49054;Candé;12.9
49063;Chalonnes-sur-Loire;8.1
49080;Les Hauts-d'Anjou;10.7
49092;Chemillé-en-Anjou;8.9
49099;Cholet;10.6
49125;Doué-en-Anjou;11.9
49126;Orée d'Anjou;6.7
49127;Durtal;10
49176;Le Lion-d'Angers;7.5
49180;Longué-Jumelles;13.7
49214;Montreuil-Juigné;6.3
49215;Montreuil-Bellay;13.5
49218;Montrevault-sur-Èvre;8.5
49228;Noyant-Villages;19.6
49244;Mauges-sur-Loire;8.5
49248;Ombrée d'Anjou;14.7
