code;deces_domicilies_2024;part_75_ans_plus;taux_pauvrete;revenu_median;part_sans_diplome;part_ouvriers;part_familles_monoparentales;part_moins_15_ans;taille_menage;part_locataires;part_locataires_HLM;part_suroccupation;part_residences_principales;part_appartements;part_maisons;densite_population;part_benef_ophtalmo;apl_generaliste;densite_orthophonistes;densite_generalistes;densite_infirmiers;densite_sages_femmes;part_benef_ald;densite_pharmacies;libelle
56091;161;13.4;13.3;21560.0;23.0;38.1;10.8;14.8;2.11;20.3;4.9;0.3;76.7;6.2;92.4;42.4;31.7;3.3;56.1;7.5;34.6;1.9;19.5;2.8;Josselin
56098;371;12.0;13.6;21910.0;18.6;25.1;17.4;17.5;2.1;37.7;20.4;0.3;92.7;37.6;62.1;496.7;24.8;5.5;33.0;10.9;16.5;2.6;18.1;3.0;Lanester
56117;398;9.4;10.3;22160.0;19.7;38.0;12.2;18.4;2.25;23.3;4.9;0.4;85.8;9.0;90.1;60.9;30.5;3.3;47.0;7.2;19.6;2.7;17.5;3.3;Locminé
56121;1302;13.3;14.3;23210.0;16.4;17.7;17.0;14.0;1.88;42.8;16.7;0.3;85.2;50.8;47.5;645.9;25.7;4.5;50.6;11.1;24.6;3.4;18.2;3.6;Lorient
56124;198;11.3;10.1;22210.0;19.1;32.5;8.9;17.1;2.19;21.7;4.2;0.1;82.0;6.8;92.6;60.6;30.2;2.9;39.7;7.9;22.1;3.4;18.9;2.8;Malestroit
56127;100;14.1;16.8;20720.0;24.9;39.9;10.5;16.1;2.09;20.3;3.4;0.2;73.3;6.4;93.3;41.1;33.9;3.1;0.0;8.6;13.7;0.0;20.5;1.7;Mauron
56143;187;13.4;8.3;23920.0;18.1;29.8;9.6;14.3;2.08;24.6;4.4;0.1;58.1;14.2;84.4;91.2;33.5;4.0;40.4;11.4;16.8;1.3;23.2;2.7;Muzillac
56147;136;10.4;9.5;22790.0;16.4;32.1;8.7;17.5;2.18;25.5;1.9;0.0;78.9;9.1;89.2;84.3;25.5;4.2;23.3;8.6;12.4;1.5;21.5;1.6;Nivillac
56152;82;13.5;11.2;23490.0;14.2;19.0;17.4;13.3;1.93;25.9;7.0;0.2;40.7;11.6;86.9;65.3;17.9;5.7;17.9;14.3;12.5;3.5;19.5;1.8;Le Palais
56164;43;8.0;7.3;26080.0;9.7;29.5;12.0;16.7;2.18;33.4;11.1;0.0;91.7;23.8;74.5;331.8;30.6;8.5;29.5;7.4;17.7;0.0;17.2;1.5;Ploeren
