code;libelle;apl_generaliste;taux_pauvrete
24372;Saint-Astier;2.3;13.7
24396;Saint-Cyprien;3.8;20.9
24520;Sarlat-la-Canéda;3.5;15.6
24547;Terrasson-Lavilledieu;3.1;17.6
24551;Thiviers;3.9;17.6
24571;Vergt;2.9;16.3
25047;Baume-les-Dames;5.2;11.7
25315;L'Isle-sur-le-Doubs;3.7;14.1
25356;Maîche;2.7;6.9
25411;Morteau;3.6;5.6
25434;Ornans;4.1;8.5
25462;Pontarlier;3.3;7.1
25463;Pont-de-Roide-Vermondans;2.8;7.7
25495;Roche-lez-Beaupré;4.6;8.3
25512;Le Russey;2.2;5.6
25527;Saint-Vit;5.0;7.9
25532;Saône;3.8;6.3
25578;Valdahon;4.1;8.3
26037;Beaumont-lès-Valence;3.4;7.1
26063;Buis-les-Baronnies;2.8;23.0
26064;Chabeuil;3.3;8.5
26108;Crest;3.3;14.5
26113;Die;3.7;21.8
26114;Dieulefit;3.8;19.4
26116;Donzère;2.8;12.5
26165;Livron-sur-Drôme;3.1;11.8
26176;Marsanne;2.7;11.2
26220;Nyons;3.5;19.6
26235;Pierrelatte;3.2;20.6
26301;Saint-Donat-sur-l'Herbasse;2.8;10.2
26307;Saint-Jean-en-Royans;3.6;12.4
26324;Saint-Paul-Trois-Châteaux;3.1;11.9
26325;Saint-Rambert-d'Albon;2.7;14.0
26333;Saint-Vallier;2.3;13.9
27016;Les Andelys;2.3;12.2
27051;Beaumont-le-Roger;2.9;12.0
27056;Bernay;2.5;14.0
27065;Beuzeville;3.3;10.8
27103;Bourg-Achard;3.1;7.0
27112;Breteuil;2.1;13.6
27116;Brionne;2.7;12.0
27165;Conches-en-Ouche;1.5;10.3
27170;Cormeilles;2.6;11.3
27198;Mesnils-sur-Iton;1.3;8.3
27226;Étrépagny;2.2;10.5
27246;Fleury-sur-Andelle;3.6;9.4
27275;Gaillon;2.4;11.4
27284;Gisors;1.7;11.9
27306;Guichainville;2.9;7.1
27428;Le Neubourg;2.5;7.9
27448;Pacy-sur-Eure;1.5;7.0
27467;Pont-Audemer;3.0;12.7
27469;Pont-de-l'Arche;4.0;8.5
27507;Saint-André-de-l'Eure;2.4;9.8
27679;Verneuil d'Avre et d'Iton;2.9;15.5
28007;Anet;2.0;6.9
28015;Auneau-Bleury-Saint-Symphorien;2.2;6.7
28051;Bonneval;1.7;9.0
28061;Brou;2.0;12.8
28088;Châteaudun;2.8;16.9
28089;Châteauneuf-en-Thymerais;2.2;7.7
28103;Cloyes-les-Trois-Rivières;2.5;10.7
28116;Courville-sur-Eure;1.9;7.3
28140;Épernon;2.7;6.5
28196;Illiers-Combray;1.7;8.0
28199;Janville-en-Beauce;2.2;9.6
28214;La Loupe;2.8;14.5
28227;Maintenon;2.5;5.7
28279;Nogent-le-Roi;2.2;8.1
28280;Nogent-le-Rotrou;2.5;13.7
28373;Senonches;2.8;13.0
28422;Les Villages Vovéens;2.7;9.0
29004;Bannalec;3.2;10.2
29020;Briec;3.4;9.8
29024;Carhaix-Plouguer;3.2;15.9
29026;Châteaulin;3.6;11.3
29027;Châteauneuf-du-Faou;3.1;17.1
29039;Concarneau;4.3;10.5
29042;Crozon;4.6;10.7
29046;Douarnenez;3.9;11.9
29053;Le Faou;3.9;6.7
29058;Fouesnant;3.8;6.9
29069;Guilers;4.8;5.7
29103;Landerneau;4.5;7.1
29105;Landivisiau;3.6;10.9
29113;Lanmeur;3.4;10.7
29124;Lesneven;3.7;8.7
29147;Mellac;4.0;6.6
29150;Moëlan-sur-Mer;3.9;8.7
29151;Morlaix;3.7;12.3
29160;Plabennec;4.1;6.4
29162;Pleyben;3.5;13.6
29174;Plonéour-Lanvern;3.6;9.5
29178;Ploudalmézeau;3.8;7.1
29195;Plouguerneau;3.1;7.8
29197;Plouhinec;4.8;12.4
29199;Plouigneau;3.4;14.2
29218;Pont-Croix;5.6;11.6
29220;Pont-l'Abbé;4.4;9.0
29233;Quimperlé;4.4;9.8
29241;Rosporden;3.8;8.9
29259;Saint-Pol-de-Léon;3.8;10.5
29260;Saint-Renan;4.5;5.4
29274;Scaër;2.6;14.1
2A041;Bonifacio;3.5;17.8
2A130;Grosseto-Prugna;3.8;14.1
2A247;Porto-Vecchio;5.6;19.0
2A249;Propriano;3.6;19.7
2A272;Sartène;4.0;23.9
2B042;Borgo;4.4;19.6
2B050;Calvi;3.9;19.7
2B096;Corte;3.0;21.1
2B123;Ghisonaccia;3.0;26.2
2B134;L'Île-Rousse;3.4;20.8
2B207;Penta-di-Casinca;3.7;22.3
2B251;Prunelli-di-Fiumorbo;5.2;18.4
2B298;Saint-Florent;5.7;19.7
30003;Aigues-Mortes;3.8;15.5
30006;Aimargues;5.1;12.1
30028;Bagnols-sur-Cèze;2.7;17.9
30029;Barjac;2.3;20.6
30034;Bellegarde;3.6;14.9
30037;Bessèges;4.2;31.8
30047;Bouillargues;4.3;12.4
30061;La Calmette;3.6;14.7
30062;Calvisson;3.9;9.0
30132;La Grand-Combe;2.7;30.6
30155;Manduel;3.6;13.5
30202;Pont-Saint-Esprit;2.5;18.3
30210;Quissac;4.8;17.4
30212;Remoulins;4.0;13.9
30217;Rochefort-du-Gard;2.9;9.9
30221;Roquemaure;2.5;14.1
30255;Saint-Geniès-de-Malgoirès;3.1;14.6
30258;Saint-Gilles;2.4;26.8
30263;Saint-Hippolyte-du-Fort;2.9;25.0
30269;Saint-Jean-du-Gard;3.6;29.1
30321;Sommières;3.1;13.4
30334;Uzès;3.9;17.1
30341;Vauvert;3.4;18.5
30344;Vergèze;5.0;10.3
30350;Le Vigan;3.4;25.9
31033;Auterive;3.8;12.0
31042;Bagnères-de-Luchon;5.8;15.4
31066;Bessières;2.9;8.2
31080;Boulogne-sur-Gesse;3.1;21.4
31106;Caraman;2.4;8.9
31107;Carbonne;4.2;15.9
31135;Cazères;3.2;16.2
31202;Fronton;3.2;10.0
31232;Grenade;3.5;10.6
31239;L'Isle-en-Dodon;3.1;21.4
31324;Martres-Tolosane;4.6;14.0
31358;Montastruc-la-Conseillère;5.1;6.2
31390;Montréjeau;2.7;17.6
31396;Nailloux;4.8;9.2
31399;Noé;5.3;9.7
31451;Revel;3.7;15.1
31454;Rieumes;2.9;8.6
31483;Saint-Gaudens;3.1;18.6
